EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CZECH REPUBLIC, PRAHA-KLEMENTINUM (STAID: 27).
Blended and updated with sources: 100082 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100082,18040723,    0,    0
100082,18040724,   85,    0
100082,18040725,    5,    0
100082,18040726,   13,    0
100082,18040727,    0,    0
100082,18040728,    0,    0
100082,18040729,    0,    0
100082,18040730,    0,    0
100082,18040731,    0,    0
100082,18040801,    0,    0
100082,18040802,    0,    0
100082,18040803,    0,    0
100082,18040804,    0,    0
100082,18040805,   58,    0
100082,18040806,    0,    0
100082,18040807,    0,    0
100082,18040808,    5,    0
100082,18040809,   11,    0
100082,18040810,    0,    0
100082,18040811,  136,    0
100082,18040812,   13,    0
100082,18040813,    0,    0
100082,18040814,   11,    0
100082,18040815,    0,    0
100082,18040816,    3,    0
100082,18040817,   26,    0
100082,18040818,   13,    0
100082,18040819,    0,    0
100082,18040820,    0,    0
100082,18040821,    0,    0
100082,18040822,   13,    0
100082,18040823,   13,    0
100082,18040824,   19,    0
100082,18040825,    0,    0
100082,18040826,    0,    0
100082,18040827,    0,    0
100082,18040828,    0,    0
100082,18040829,    0,    0
100082,18040830,    0,    0
100082,18040831,    0,    0
100082,18040901,    0,    0
100082,18040902,    8,    0
100082,18040903,    0,    0
100082,18040904,    0,    0
100082,18040905,    0,    0
100082,18040906,    0,    0
100082,18040907,    0,    0
100082,18040908,    0,    0
100082,18040909,   31,    0
100082,18040910,   11,    0
100082,18040911,    0,    0
100082,18040912,    0,    0
100082,18040913,    0,    0
100082,18040914,    0,    0
100082,18040915,    0,    0
100082,18040916,    0,    0
100082,18040917,    0,    0
100082,18040918,    0,    0
100082,18040919,    0,    0
100082,18040920,    0,    0
100082,18040921,    0,    0
100082,18040922,   11,    0
100082,18040923,    0,    0
100082,18040924,   13,    0
100082,18040925,    0,    0
100082,18040926,    5,    0
100082,18040927,   99,    0
100082,18040928,    0,    0
100082,18040929,    0,    0
100082,18040930,    0,    0
100082,18041001,    0,    0
100082,18041002,    0,    0
100082,18041003,    0,    0
100082,18041004,    0,    0
100082,18041005,    0,    0
100082,18041006,    0,    0
100082,18041007,   13,    0
100082,18041008,    0,    0
100082,18041009,   26,    0
100082,18041010,    3,    0
100082,18041011,    0,    0
100082,18041012,    5,    0
100082,18041013,    8,    0
100082,18041014,    5,    0
100082,18041015,    0,    0
100082,18041016,  178,    0
100082,18041017,   69,    0
100082,18041018,    0,    0
100082,18041019,   13,    0
100082,18041020,    0,    0
100082,18041021,    0,    0
100082,18041022,    0,    0
100082,18041023,    0,    0
100082,18041024,    0,    0
100082,18041025,    8,    0
100082,18041026,    3,    0
100082,18041027,    0,    0
100082,18041028,    0,    0
100082,18041029,    0,    0
100082,18041030,   26,    0
100082,18041031,   13,    0
100082,18041101,   91,    0
100082,18041102,   91,    0
100082,18041103,    0,    0
100082,18041104,    0,    0
100082,18041105,    0,    0
100082,18041106,    0,    0
100082,18041107,    0,    0
100082,18041108,    0,    0
100082,18041109,    0,    0
100082,18041110,   58,    0
100082,18041111,   72,    0
100082,18041112,    0,    0
100082,18041113,   11,    0
100082,18041114,  225,    0
100082,18041115,   53,    0
100082,18041116,    0,    0
100082,18041117,    0,    0
100082,18041118,    0,    0
100082,18041119,    0,    0
100082,18041120,    0,    0
100082,18041121,   69,    0
100082,18041122,   19,    0
100082,18041123,    5,    0
100082,18041124,   37,    0
100082,18041125,    0,    0
100082,18041126,    0,    0
100082,18041127,    0,    0
100082,18041128,   26,    0
100082,18041129,    5,    0
100082,18041130,    0,    0
100082,18041201,    0,    0
100082,18041202,   39,    0
100082,18041203,    0,    0
100082,18041204,    0,    0
100082,18041205,   21,    0
100082,18041206,    5,    0
100082,18041207,    0,    0
100082,18041208,    0,    0
100082,18041209,    5,    0
100082,18041210,   80,    0
100082,18041211,    0,    0
100082,18041212,    3,    0
100082,18041213,    0,    0
100082,18041214,    5,    0
100082,18041215,    3,    0
100082,18041216,   11,    0
100082,18041217,   13,    0
100082,18041218,   13,    0
100082,18041219,    0,    0
100082,18041220,    0,    0
100082,18041221,    0,    0
100082,18041222,    0,    0
100082,18041223,    0,    0
100082,18041224,    0,    0
100082,18041225,    0,    0
100082,18041226,    0,    0
100082,18041227,    5,    0
100082,18041228,   11,    0
100082,18041229,   13,    0
100082,18041230,   11,    0
100082,18041231,    0,    0
100082,18050101,    5,    0
100082,18050102,    0,    0
100082,18050103,    0,    0
100082,18050104,    0,    0
100082,18050105,    3,    0
100082,18050106,    0,    0
100082,18050107,    0,    0
100082,18050108,    0,    0
100082,18050109,    0,    0
100082,18050110,    0,    0
100082,18050111,    0,    0
100082,18050112,    0,    0
100082,18050113,    0,    0
100082,18050114,    0,    0
100082,18050115,   11,    0
100082,18050116,    5,    0
100082,18050117,    0,    0
100082,18050118,    0,    0
100082,18050119,    0,    0
100082,18050120,    0,    0
100082,18050121,    0,    0
100082,18050122,   61,    0
100082,18050123,    0,    0
100082,18050124,    0,    0
100082,18050125,   53,    0
100082,18050126,   19,    0
100082,18050127,    0,    0
100082,18050128,    0,    0
100082,18050129,    0,    0
100082,18050130,   83,    0
100082,18050131,  149,    0
100082,18050201,    0,    0
100082,18050202,    0,    0
100082,18050203,   16,    0
100082,18050204,    3,    0
100082,18050205,    3,    0
100082,18050206,   16,    0
100082,18050207,    0,    0
100082,18050208,    0,    0
100082,18050209,    5,    0
100082,18050210,   13,    0
100082,18050211,    0,    0
100082,18050212,  106,    0
100082,18050213,   34,    0
100082,18050214,    8,    0
100082,18050215,   11,    0
100082,18050216,    0,    0
100082,18050217,    0,    0
100082,18050218,    0,    0
100082,18050219,    0,    0
100082,18050220,    0,    0
100082,18050221,    0,    0
100082,18050222,   19,    0
100082,18050223,    0,    0
100082,18050224,    0,    0
100082,18050225,   11,    0
100082,18050226,    0,    0
100082,18050227,   34,    0
100082,18050228,   69,    0
100082,18050301,    5,    0
100082,18050302,    5,    0
100082,18050303,    0,    0
100082,18050304,    3,    0
100082,18050305,   26,    0
100082,18050306,   24,    0
100082,18050307,    3,    0
100082,18050308,    5,    0
100082,18050309,    0,    0
100082,18050310,    0,    0
100082,18050311,    0,    0
100082,18050312,    0,    0
100082,18050313,    0,    0
100082,18050314,    0,    0
100082,18050315,    0,    0
100082,18050316,    5,    0
100082,18050317,    0,    0
100082,18050318,    0,    0
100082,18050319,    0,    0
100082,18050320,    0,    0
100082,18050321,    0,    0
100082,18050322,    0,    0
100082,18050323,    0,    0
100082,18050324,    0,    0
100082,18050325,    0,    0
100082,18050326,    0,    0
100082,18050327,    0,    0
100082,18050328,    0,    0
100082,18050329,    5,    0
100082,18050330,    3,    0
100082,18050331,    0,    0
100082,18050401,    0,    0
100082,18050402,    0,    0
100082,18050403,    0,    0
100082,18050404,    0,    0
100082,18050405,    0,    0
100082,18050406,    0,    0
100082,18050407,   11,    0
100082,18050408,    0,    0
100082,18050409,    0,    0
100082,18050410,    0,    0
100082,18050411,    0,    0
100082,18050412,    0,    0
100082,18050413,    3,    0
100082,18050414,    0,    0
100082,18050415,    0,    0
100082,18050416,   21,    0
100082,18050417,    0,    0
100082,18050418,    0,    0
100082,18050419,  215,    0
100082,18050420,    0,    0
100082,18050421,    0,    0
100082,18050422,    0,    0
100082,18050423,    0,    0
100082,18050424,    0,    0
100082,18050425,    0,    0
100082,18050426,  104,    0
100082,18050427,    0,    0
100082,18050428,    5,    0
100082,18050429,    0,    0
100082,18050430,    0,    0
100082,18050501,   34,    0
100082,18050502,   19,    0
100082,18050503,    0,    0
100082,18050504,   13,    0
100082,18050505,    0,    0
100082,18050506,    0,    0
100082,18050507,    0,    0
100082,18050508,    0,    0
100082,18050509,    5,    0
100082,18050510,    0,    0
100082,18050511,    0,    0
100082,18050512,    0,    0
100082,18050513,   56,    0
100082,18050514,  180,    0
100082,18050515,   58,    0
100082,18050516,   19,    0
100082,18050517,    0,    0
100082,18050518,   29,    0
100082,18050519,   45,    0
100082,18050520,    5,    0
100082,18050521,    0,    0
100082,18050522,    3,    0
100082,18050523,    0,    0
100082,18050524,    0,    0
100082,18050525,    0,    0
100082,18050526,    0,    0
100082,18050527,    0,    0
100082,18050528,    0,    0
100082,18050529,    0,    0
100082,18050530,    0,    0
100082,18050531,    0,    0
100082,18050601,    0,    0
100082,18050602,    5,    0
100082,18050603,    0,    0
100082,18050604,   26,    0
100082,18050605,    0,    0
100082,18050606,    0,    0
100082,18050607,  119,    0
100082,18050608,    0,    0
100082,18050609,    0,    0
100082,18050610,    0,    0
100082,18050611,   93,    0
100082,18050612,    8,    0
100082,18050613,    0,    0
100082,18050614,    0,    0
100082,18050615,    0,    0
100082,18050616,   26,    0
100082,18050617,    0,    0
100082,18050618,    0,    0
100082,18050619,    0,    0
100082,18050620,    0,    0
100082,18050621,    3,    0
100082,18050622,    3,    0
100082,18050623,    0,    0
100082,18050624,    0,    0
100082,18050625,    0,    0
100082,18050626,    8,    0
100082,18050627,    0,    0
100082,18050628,   53,    0
100082,18050629,   19,    0
100082,18050630,    0,    0
100082,18050701,    0,    0
100082,18050702,    0,    0
100082,18050703,   29,    0
100082,18050704,    0,    0
100082,18050705,   11,    0
100082,18050706,  205,    0
100082,18050707,   74,    0
100082,18050708,   39,    0
100082,18050709,    0,    0
100082,18050710,    8,    0
100082,18050711,   80,    0
100082,18050712,  138,    0
100082,18050713,    0,    0
100082,18050714,    0,    0
100082,18050715,    8,    0
100082,18050716,   74,    0
100082,18050717,   91,    0
100082,18050718,    0,    0
100082,18050719,    0,    0
100082,18050720,    0,    0
100082,18050721,    0,    0
100082,18050722,    5,    0
100082,18050723,   11,    0
100082,18050724,   24,    0
100082,18050725,    0,    0
100082,18050726,    0,    0
100082,18050727,    0,    0
100082,18050728,    0,    0
100082,18050729,    0,    0
100082,18050730,   74,    0
100082,18050731,    0,    0
100082,18050801,    0,    0
100082,18050802,    0,    0
100082,18050803,   16,    0
100082,18050804,    8,    0
100082,18050805,    0,    0
100082,18050806,    0,    0
100082,18050807,    0,    0
100082,18050808,  138,    0
100082,18050809,   34,    0
100082,18050810,    0,    0
100082,18050811,    8,    0
100082,18050812,    0,    0
100082,18050813,    0,    0
100082,18050814,    3,    0
100082,18050815,   16,    0
100082,18050816,    0,    0
100082,18050817,    8,    0
100082,18050818,    3,    0
100082,18050819,    0,    0
100082,18050820,   72,    0
100082,18050821,   29,    0
100082,18050822,  136,    0
100082,18050823,    5,    0
100082,18050824,   31,    0
100082,18050825,    0,    0
100082,18050826,    8,    0
100082,18050827,    0,    0
100082,18050828,    0,    0
100082,18050829,   45,    0
100082,18050830,    0,    0
100082,18050831,   66,    0
100082,18050901,   31,    0
100082,18050902,    0,    0
100082,18050903,    0,    0
100082,18050904,    0,    0
100082,18050905,    0,    0
100082,18050906,    0,    0
100082,18050907,    5,    0
100082,18050908,    8,    0
100082,18050909,    3,    0
100082,18050910,    0,    0
100082,18050911,    0,    0
100082,18050912,    0,    0
100082,18050913,    0,    0
100082,18050914,    0,    0
100082,18050915,    0,    0
100082,18050916,    0,    0
100082,18050917,    0,    0
100082,18050918,    0,    0
100082,18050919,    0,    0
100082,18050920,    0,    0
100082,18050921,    0,    0
100082,18050922,   80,    0
100082,18050923,    0,    0
100082,18050924,    0,    0
100082,18050925,    0,    0
100082,18050926,   13,    0
100082,18050927,   61,    0
100082,18050928,    5,    0
100082,18050929,    3,    0
100082,18050930,    0,    0
100082,18051001,    0,    0
100082,18051002,    0,    0
100082,18051003,    0,    0
100082,18051004,    0,    0
100082,18051005,    0,    0
100082,18051006,    0,    0
100082,18051007,    0,    0
100082,18051008,    0,    0
100082,18051009,    5,    0
100082,18051010,    0,    0
100082,18051011,   13,    0
100082,18051012,    0,    0
100082,18051013,   69,    0
100082,18051014,    5,    0
100082,18051015,    5,    0
100082,18051016,   39,    0
100082,18051017,   11,    0
100082,18051018,    3,    0
100082,18051019,    0,    0
100082,18051020,    0,    0
100082,18051021,    3,    0
100082,18051022,    0,    0
100082,18051023,    0,    0
100082,18051024,    0,    0
100082,18051025,    5,    0
100082,18051026,   39,    0
100082,18051027,   34,    0
100082,18051028,    8,    0
100082,18051029,   29,    0
100082,18051030,   58,    0
100082,18051031,    5,    0
100082,18051101,    0,    0
100082,18051102,    0,    0
100082,18051103,    0,    0
100082,18051104,    0,    0
100082,18051105,    0,    0
100082,18051106,    0,    0
100082,18051107,    0,    0
100082,18051108,    0,    0
100082,18051109,    0,    0
100082,18051110,    0,    0
100082,18051111,    3,    0
100082,18051112,    0,    0
100082,18051113,    0,    0
100082,18051114,    0,    0
100082,18051115,    0,    0
100082,18051116,    0,    0
100082,18051117,    0,    0
100082,18051118,    3,    0
100082,18051119,    0,    0
100082,18051120,    5,    0
100082,18051121,    0,    0
100082,18051122,   13,    0
100082,18051123,   26,    0
100082,18051124,    0,    0
100082,18051125,    0,    0
100082,18051126,    0,    0
100082,18051127,    0,    0
100082,18051128,    0,    0
100082,18051129,    8,    0
100082,18051130,   21,    0
100082,18051201,    0,    0
100082,18051202,    0,    0
100082,18051203,    0,    0
100082,18051204,    0,    0
100082,18051205,    0,    0
100082,18051206,    5,    0
100082,18051207,    0,    0
100082,18051208,    0,    0
100082,18051209,    0,    0
100082,18051210,    0,    0
100082,18051211,    3,    0
100082,18051212,    3,    0
100082,18051213,    0,    0
100082,18051214,    0,    0
100082,18051215,    3,    0
100082,18051216,    0,    0
100082,18051217,    0,    0
100082,18051218,    0,    0
100082,18051219,    0,    0
100082,18051220,    0,    0
100082,18051221,    5,    0
100082,18051222,    0,    0
